Country,Continent,Capital,President/Prime Minister,Area/Sq-mi,Population,Currency,Time Zone/UTC
Afghanistan,Asia,Kabul,Ashraf Ghani,252072,33332025,Afghani,"4:30"
Bhutan,Asia,Thimphu,Tshering Tobgay,14824,742737,Ngultrum,"6:00"
China,Asia,Beijing,Xi Jinping,3705407,1373541278,Renminbi,"8:00"
India,Asia,New Delhi,Ram Nath Kovind,1269219,1210854977,Rupee,"5:30"
Japan,Asia,Tokyo,Shinzo Abe,145936,126740000,Yen,"9:00"
Sri Lanka,Asia,Sri Jayawardenepura,Maithripala Sirisena,25330,21203000,Rupee,"5:30"
Andorra,Europe,Andorra la Vella,Antoni Marti,181,85470,Euro,"1:00"
Belgium,Europe,Brussels,Charles Michel,11787,11250585,Euro,"1:00"
Norway,Europe,Oslo,Erna Solberg,148718,5267146,Krone,"1:00"
United Kingdom,Europe,London,Theresa May,93628,65648000,Pound,"0:00"
Canada,North America,Ottawa,Justin Trudeau,3855100,35151728,Dolar,"-4:30"
Cuba,North America,Havana,Raul Castro,42426,11239224,Peso,"-5:00"
Dominican Republic,North America,Santo Domingo,Danilo Medina,18655,10783574,Peso,"-4:00"
Mexico,North America,Mexico City,Enrique Pena Nieto,761610,119530753,Peso,"-5:00"
United States,North America,Washinton DC,Donald Trump,9833520,323127513,Dolar,"-5:00"
